rw_terdampak,kk_terdampak,jiwa_terdampak,jumlah_jiwa_pengungsi_tertinggi
2414.0,506164.0,1226487.0,83554.0
207.0,19177.0,46865.0,740.0
68.0,9215.0,27020.0,2406.0
66.0,6004.0,15060.0,318.0
139.0,4740.0,18481.0,1245.0
37.0,0.0,0.0,
56.0,8270.0,22537.0,443.0
55.0,11735.0,32427.0,536.0
,,,
16.0,1969.0,5420.0,0.0
87.0,6491.0,18367.0,86.0
78.0,4584.0,13814.0,1585.0
634.0,70459.0,245950.0,122417.0
192.0,56489.0,164940.0,38340.0
89.0,4925.0,15098.0,3479.0
11.0,1560.0,3553.0,0.0
16.0,2535.0,6327.0,0.0
7.0,2775.0,9335.0,0.0
41.0,4808.0,15299.0,38.0
21.0,2028.0,4327.0,600.0
,,,
,,,
57.0,13127.0,42637.0,2634.0
68.0,5604.0,18887.0,219.0
221.0,6095,13073,3255.0
615.0,64458,231566,41202.0
30.0,2869,8119,822.0
18.0,2235,7905,0.0
7.0,423,2088,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
36.0,3858,13195,534.0
28.0,1698,6192,0.0
26.0,1020.0,3853.0,0.0
231.0,20593.0,70218.0,1137.0
93.0,16145.0,51234.0,2192.0
134.0,7833.0,27607.0,2945.0
26.0,1496.0,6271.0,0.0
49.0,1424.0,6025.0,2.0
59.0,3060.0,8068.0,183.0
82.0,11671.0,31921.0,198.0
72.0,5041.0,15331.0,751.0
53.0,1160.0,3840.0,0.0
80.0,2148.0,8209.0,352.0
,,,
7.0,,,0.0
216.0,6967,19325,5858.0
95.0,3232,10166,1870.0
78.0,621,2131,753.0
48.0,1056,3420,20.0
17.0,1409,4547,0.0
22.0,251,705,0.0
13.0,,,0.0
2.0,,,0.0
25.0,15,,0.0
86.0,1935,6505,564.0
51.0,131,404,35.0
25.0,0,0,0.0
162.0,5467,19456,15558.0
21.0,303,1000,0.0
19.0,300,988,0.0
47.0,214,716,69.0
18.0,328,1068,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
13.0,387,1001,0.0
28.0,1848,7597,0.0
38.0,244,877,0.0
58.0,135,453,0.0
43.0,398,1186,0.0
119.0,315,1010,85.0
94.0,2915,8851,3600.0
15.0,150,355,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
0.0,0,0,0.0
16.0,391,1203,0.0
0.0,0,0,0.0
41.0,316,1601,0.0
390.0,22148,83406,36445.0
581.0,12551,43464,13808.0
104.0,3057,9687,453.0
106.0,1059,2966,75.0
47.0,891,3117,213.0
46.0,80,320,320.0
4.0,0,0,0.0
20.0,0,0,0.0
65.0,414,1300,104.0
170.0,1933,6250,675.0
54.0,0,0,0.0
18.0,250,827,0.0
