time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2013-01-01T00:00,63,28.7,23.9,25.504168,33.5,28.5,30.266663,2013-01-01T05:42,2013-01-01T18:10,26.400003,26.400003,0,22,14.3,32.4,252.23288,13.31,2.6899998
2013-01-02T00:00,61,27.7,24,25.479166,31.8,28.4,30.187498,2013-01-02T05:42,2013-01-02T18:10,15.1,15.1,0,21,11.7,29.5,277.68045,11.73,2.4499998
2013-01-03T00:00,51,29.8,23.8,26.645834,35,28.8,31.425001,2013-01-03T05:43,2013-01-03T18:11,2.3999999,2.3999999,0,10,16.9,35.3,262.80185,21.79,4.360001
2013-01-04T00:00,63,26.9,24.5,25.33333,30.9,27.6,29.145834,2013-01-04T05:43,2013-01-04T18:11,22.7,22.7,0,20,16.8,37.8,267.65076,10.93,2.2999997
2013-01-05T00:00,61,27.5,23.4,25.079165,31.2,27,28.933334,2013-01-05T05:44,2013-01-05T18:12,11.599999,11.599999,0,20,17.2,40.7,263.79114,12.01,2.55
2013-01-06T00:00,61,27.2,24,25.379168,30.9,28,29.295835,2013-01-06T05:44,2013-01-06T18:12,13.1,13.1,0,21,18.1,37.1,251.44826,9.52,2.1299999
2013-01-07T00:00,61,28.6,24.2,25.820837,32.9,28,29.879166,2013-01-07T05:45,2013-01-07T18:12,7.2000003,7.2000003,0,10,13.6,36.7,244.4812,14.76,3.1300004
2013-01-08T00:00,55,28.7,24.1,25.833334,31.9,27.8,29.266665,2013-01-08T05:45,2013-01-08T18:13,3.9000003,3.9000003,0,6,22,41.4,246.23445,15.69,3.3599997
2013-01-09T00:00,63,27.3,24.2,25.016668,30.9,26.8,28.041666,2013-01-09T05:46,2013-01-09T18:13,20.199999,20.199999,0,14,22.5,42.5,253.84491,9.28,2.15
2013-01-10T00:00,55,28.1,23.9,25.558332,30.3,26.6,27.937502,2013-01-10T05:46,2013-01-10T18:13,5.899999,5.899999,0,15,27.8,54.7,250.55032,16.57,3.5999997
2013-01-11T00:00,55,28.6,24.4,26.125,31.6,27,29.008331,2013-01-11T05:47,2013-01-11T18:14,2.6999998,2.6999998,0,10,21.5,50.4,261.04587,15.95,3.66
2013-01-12T00:00,61,27.9,24.5,25.695833,32.2,28,29.8375,2013-01-12T05:47,2013-01-12T18:14,12.4,12.4,0,17,16.1,40.3,265.50082,13.15,2.77
2013-01-13T00:00,63,28.1,23.5,25.295832,33.7,27.6,29.699997,2013-01-13T05:47,2013-01-13T18:14,21.899998,21.899998,0,19,15.5,41.8,270.74817,16.07,3.1699998
2013-01-14T00:00,63,27.7,23.7,25.008333,33,27.8,29.833334,2013-01-14T05:48,2013-01-14T18:14,18.7,18.7,0,22,12.2,30.6,267.4633,12.11,2.4699998
2013-01-15T00:00,63,26.9,23.2,24.583336,31.3,27.7,29.070837,2013-01-15T05:48,2013-01-15T18:15,20.699997,20.699997,0,24,14.7,34.2,270.2886,11.09,2.26
2013-01-16T00:00,53,27.4,23,24.91667,32.2,27.4,29.625006,2013-01-16T05:49,2013-01-16T18:15,5.8999996,5.8999996,0,18,10.1,26.3,289.78946,13.04,2.64
2013-01-17T00:00,55,27.2,23.5,25.354166,32.5,28.4,30.533333,2013-01-17T05:49,2013-01-17T18:15,9.5,9.5,0,23,13.7,31.7,322.1476,15.06,2.8999999
2013-01-18T00:00,61,28,23.7,25.22917,33.8,28.3,29.808332,2013-01-18T05:50,2013-01-18T18:15,23.300001,23.300001,0,24,13.1,37.8,265.1849,13.34,2.7399998
2013-01-19T00:00,61,28.7,23.5,25.958336,33.3,27.7,30.354164,2013-01-19T05:50,2013-01-19T18:16,5.3,5.3,0,8,14.2,38.5,266.76498,16.69,3.4599996
2013-01-20T00:00,63,28.9,23.9,26.066671,35,27.6,30.970835,2013-01-20T05:51,2013-01-20T18:16,6.6,6.6,0,16,12.2,36,271.98462,20.06,4
2013-01-21T00:00,53,28.8,23.5,26.129168,35.5,28,31.237501,2013-01-21T05:51,2013-01-21T18:16,3.9999998,3.9999998,0,13,13,31.7,303.92554,19.31,3.7900002
2013-01-22T00:00,63,28.4,24,26.004166,33.9,29.3,31.108332,2013-01-22T05:51,2013-01-22T18:16,14.099999,14.099999,0,15,15.5,32.4,300.45898,19.32,3.7
2013-01-23T00:00,63,27.4,23.9,25.279161,32,28,29.625,2013-01-23T05:52,2013-01-23T18:16,20.700003,20.700003,0,24,15.3,43.2,265.09818,10.73,2.1999998
2013-01-24T00:00,61,26.6,23.6,24.925003,31.2,27.6,29.458338,2013-01-24T05:52,2013-01-24T18:16,9.999999,9.999999,0,24,13,31.7,275.76376,10.13,2.08
2013-01-25T00:00,61,26.6,23.2,24.745834,31.2,27.5,29.475,2013-01-25T05:52,2013-01-25T18:17,11.2,11.2,0,24,8.8,25.9,276.90024,9.47,1.97
2013-01-26T00:00,61,26.3,23.5,24.779165,30.4,27.7,29.341667,2013-01-26T05:53,2013-01-26T18:17,14.499999,14.499999,0,24,11.3,27.4,278.13,8.7,1.8299998
2013-01-27T00:00,61,28,23.3,25.125,31.9,27.3,29.320831,2013-01-27T05:53,2013-01-27T18:17,16.8,16.8,0,23,16.3,34.6,259.6505,14.24,2.85
2013-01-28T00:00,61,27.8,23.5,25.316668,32.3,27.6,29.733332,2013-01-28T05:53,2013-01-28T18:17,18.999998,18.999998,0,24,15.6,32.8,289.48776,15.76,3.01
2013-01-29T00:00,61,28.2,22.8,25.374998,33.7,27.4,30.199999,2013-01-29T05:54,2013-01-29T18:17,7.9999995,7.9999995,0,13,12.2,27,292.4259,18.42,3.63
2013-01-30T00:00,61,28.6,23,25.695833,34.7,27.5,30.633333,2013-01-30T05:54,2013-01-30T18:17,7.2999988,7.2999988,0,15,13.6,26.3,305.66165,20.5,3.99
2013-01-31T00:00,63,28.8,23,25.487501,35.1,27.2,30.6875,2013-01-31T05:54,2013-01-31T18:17,13.200001,13.200001,0,11,12.6,26.6,286.13733,20.03,3.8799999
